algoritmo::k::area,costo,wssse,percentuale_vaccinati,k_predetto
KMeansCustom::2::FVG,0.007954420872908256,0.007954420872908256,0.6328885099766174,1
KMeansCustom::2::PIE,0.007954420872908256,0.007954420872908256,0.6071899110972782,0
KMeansCustom::2::VDA,0.007954420872908256,0.007954420872908256,0.6148109286089027,0
KMeansCustom::2::TOS,0.007954420872908256,0.007954420872908256,0.6003560745439414,0
KMeansCustom::2::VEN,0.007954420872908256,0.007954420872908256,0.5960684214767252,0
KMeansCustom::2::CAL,0.007954420872908256,0.007954420872908256,0.5803700003408374,0
KMeansCustom::2::CAM,0.007954420872908256,0.007954420872908256,0.6048702066408099,0
KMeansCustom::2::SIC,0.007954420872908256,0.007954420872908256,0.5498337490983037,0
KMeansCustom::2::MAR,0.007954420872908256,0.007954420872908256,0.620298573470467,0
KMeansCustom::2::MOL,0.007954420872908256,0.007954420872908256,0.6610689030743861,1
KMeansCustom::2::UMB,0.007954420872908256,0.007954420872908256,0.6244726957860749,0
KMeansCustom::2::PAB,0.007954420872908256,0.007954420872908256,0.6147812971342383,0
KMeansCustom::2::LIG,0.007954420872908256,0.007954420872908256,0.6525889104884406,1
KMeansCustom::2::PAT,0.007954420872908256,0.007954420872908256,0.5625641355129464,0
KMeansCustom::2::SAR,0.007954420872908256,0.007954420872908256,0.5846248181576437,0
KMeansCustom::2::BAS,0.007954420872908256,0.007954420872908256,0.6179692793186006,0
KMeansCustom::2::LAZ,0.007954420872908256,0.007954420872908256,0.6076343222166986,0
KMeansCustom::2::LOM,0.007954420872908256,0.007954420872908256,0.6253450389044157,0
KMeansCustom::2::EMR,0.007954420872908256,0.007954420872908256,0.609860559404474,0
KMeansCustom::2::PUG,0.007954420872908256,0.007954420872908256,0.6209724591544898,0
KMeansCustom::3::FVG,0.002213041919344839,0.002213041919344839,0.6328885099766174,0
KMeansCustom::3::PIE,0.002213041919344839,0.002213041919344839,0.6071899110972782,0
KMeansCustom::3::VDA,0.002213041919344839,0.002213041919344839,0.6148109286089027,0
KMeansCustom::3::TOS,0.002213041919344839,0.002213041919344839,0.6003560745439414,0
KMeansCustom::3::VEN,0.002213041919344839,0.002213041919344839,0.5960684214767252,0
KMeansCustom::3::CAL,0.002213041919344839,0.002213041919344839,0.5803700003408374,1
KMeansCustom::3::CAM,0.002213041919344839,0.002213041919344839,0.6048702066408099,0
KMeansCustom::3::SIC,0.002213041919344839,0.002213041919344839,0.5498337490983037,1
KMeansCustom::3::MAR,0.002213041919344839,0.002213041919344839,0.620298573470467,0
KMeansCustom::3::MOL,0.002213041919344839,0.002213041919344839,0.6610689030743861,2
KMeansCustom::3::UMB,0.002213041919344839,0.002213041919344839,0.6244726957860749,0
KMeansCustom::3::PAB,0.002213041919344839,0.002213041919344839,0.6147812971342383,0
KMeansCustom::3::LIG,0.002213041919344839,0.002213041919344839,0.6525889104884406,2
KMeansCustom::3::PAT,0.002213041919344839,0.002213041919344839,0.5625641355129464,1
KMeansCustom::3::SAR,0.002213041919344839,0.002213041919344839,0.5846248181576437,1
KMeansCustom::3::BAS,0.002213041919344839,0.002213041919344839,0.6179692793186006,0
KMeansCustom::3::LAZ,0.002213041919344839,0.002213041919344839,0.6076343222166986,0
KMeansCustom::3::LOM,0.002213041919344839,0.002213041919344839,0.6253450389044157,0
KMeansCustom::3::EMR,0.002213041919344839,0.002213041919344839,0.609860559404474,0
KMeansCustom::3::PUG,0.002213041919344839,0.002213041919344839,0.6209724591544898,0
KMeansCustom::4::FVG,0.0011787806097392334,0.0011787806097392334,0.6328885099766174,0
KMeansCustom::4::PIE,0.0011787806097392334,0.0011787806097392334,0.6071899110972782,0
KMeansCustom::4::VDA,0.0011787806097392334,0.0011787806097392334,0.6148109286089027,0
KMeansCustom::4::TOS,0.0011787806097392334,0.0011787806097392334,0.6003560745439414,3
KMeansCustom::4::VEN,0.0011787806097392334,0.0011787806097392334,0.5960684214767252,3
KMeansCustom::4::CAL,0.0011787806097392334,0.0011787806097392334,0.5803700003408374,3
KMeansCustom::4::CAM,0.0011787806097392334,0.0011787806097392334,0.6048702066408099,0
KMeansCustom::4::SIC,0.0011787806097392334,0.0011787806097392334,0.5498337490983037,1
KMeansCustom::4::MAR,0.0011787806097392334,0.0011787806097392334,0.620298573470467,0
KMeansCustom::4::MOL,0.0011787806097392334,0.0011787806097392334,0.6610689030743861,2
KMeansCustom::4::UMB,0.0011787806097392334,0.0011787806097392334,0.6244726957860749,0
KMeansCustom::4::PAB,0.0011787806097392334,0.0011787806097392334,0.6147812971342383,0
KMeansCustom::4::LIG,0.0011787806097392334,0.0011787806097392334,0.6525889104884406,2
KMeansCustom::4::PAT,0.0011787806097392334,0.0011787806097392334,0.5625641355129464,1
KMeansCustom::4::SAR,0.0011787806097392334,0.0011787806097392334,0.5846248181576437,3
KMeansCustom::4::BAS,0.0011787806097392334,0.0011787806097392334,0.6179692793186006,0
KMeansCustom::4::LAZ,0.0011787806097392334,0.0011787806097392334,0.6076343222166986,0
KMeansCustom::4::LOM,0.0011787806097392334,0.0011787806097392334,0.6253450389044157,0
KMeansCustom::4::EMR,0.0011787806097392334,0.0011787806097392334,0.609860559404474,0
KMeansCustom::4::PUG,0.0011787806097392334,0.0011787806097392334,0.6209724591544898,0
KMeansCustom::5::FVG,0.001195990507640404,0.001195990507640404,0.6328885099766174,2
KMeansCustom::5::PIE,0.001195990507640404,0.001195990507640404,0.6071899110972782,3
KMeansCustom::5::VDA,0.001195990507640404,0.001195990507640404,0.6148109286089027,3
KMeansCustom::5::TOS,0.001195990507640404,0.001195990507640404,0.6003560745439414,0
KMeansCustom::5::VEN,0.001195990507640404,0.001195990507640404,0.5960684214767252,0
KMeansCustom::5::CAL,0.001195990507640404,0.001195990507640404,0.5803700003408374,0
KMeansCustom::5::CAM,0.001195990507640404,0.001195990507640404,0.6048702066408099,3
KMeansCustom::5::SIC,0.001195990507640404,0.001195990507640404,0.5498337490983037,1
KMeansCustom::5::MAR,0.001195990507640404,0.001195990507640404,0.620298573470467,3
KMeansCustom::5::MOL,0.001195990507640404,0.001195990507640404,0.6610689030743861,2
KMeansCustom::5::UMB,0.001195990507640404,0.001195990507640404,0.6244726957860749,3
KMeansCustom::5::PAB,0.001195990507640404,0.001195990507640404,0.6147812971342383,3
KMeansCustom::5::LIG,0.001195990507640404,0.001195990507640404,0.6525889104884406,2
KMeansCustom::5::PAT,0.001195990507640404,0.001195990507640404,0.5625641355129464,4
KMeansCustom::5::SAR,0.001195990507640404,0.001195990507640404,0.5846248181576437,0
KMeansCustom::5::BAS,0.001195990507640404,0.001195990507640404,0.6179692793186006,3
KMeansCustom::5::LAZ,0.001195990507640404,0.001195990507640404,0.6076343222166986,3
KMeansCustom::5::LOM,0.001195990507640404,0.001195990507640404,0.6253450389044157,3
KMeansCustom::5::EMR,0.001195990507640404,0.001195990507640404,0.609860559404474,3
KMeansCustom::5::PUG,0.001195990507640404,0.001195990507640404,0.6209724591544898,3
BisectingKMeansCustom::2::FVG,0.0054868955545268605,0.005486895554529109,0.6328885099766174,1
BisectingKMeansCustom::2::PIE,0.0054868955545268605,0.005486895554529109,0.6071899110972782,1
BisectingKMeansCustom::2::VDA,0.0054868955545268605,0.005486895554529109,0.6148109286089027,1
BisectingKMeansCustom::2::TOS,0.0054868955545268605,0.005486895554529109,0.6003560745439414,0
BisectingKMeansCustom::2::VEN,0.0054868955545268605,0.005486895554529109,0.5960684214767252,0
BisectingKMeansCustom::2::CAL,0.0054868955545268605,0.005486895554529109,0.5803700003408374,0
BisectingKMeansCustom::2::CAM,0.0054868955545268605,0.005486895554529109,0.6048702066408099,1
BisectingKMeansCustom::2::SIC,0.0054868955545268605,0.005486895554529109,0.5498337490983037,0
BisectingKMeansCustom::2::MAR,0.0054868955545268605,0.005486895554529109,0.620298573470467,1
BisectingKMeansCustom::2::MOL,0.0054868955545268605,0.005486895554529109,0.6610689030743861,1
BisectingKMeansCustom::2::UMB,0.0054868955545268605,0.005486895554529109,0.6244726957860749,1
BisectingKMeansCustom::2::PAB,0.0054868955545268605,0.005486895554529109,0.6147812971342383,1
BisectingKMeansCustom::2::LIG,0.0054868955545268605,0.005486895554529109,0.6525889104884406,1
BisectingKMeansCustom::2::PAT,0.0054868955545268605,0.005486895554529109,0.5625641355129464,0
BisectingKMeansCustom::2::SAR,0.0054868955545268605,0.005486895554529109,0.5846248181576437,0
BisectingKMeansCustom::2::BAS,0.0054868955545268605,0.005486895554529109,0.6179692793186006,1
BisectingKMeansCustom::2::LAZ,0.0054868955545268605,0.005486895554529109,0.6076343222166986,1
BisectingKMeansCustom::2::LOM,0.0054868955545268605,0.005486895554529109,0.6253450389044157,1
BisectingKMeansCustom::2::EMR,0.0054868955545268605,0.005486895554529109,0.609860559404474,1
BisectingKMeansCustom::2::PUG,0.0054868955545268605,0.005486895554529109,0.6209724591544898,1
BisectingKMeansCustom::3::FVG,0.0028325213042255104,0.002832521304225552,0.6328885099766174,2
BisectingKMeansCustom::3::PIE,0.0028325213042255104,0.002832521304225552,0.6071899110972782,1
BisectingKMeansCustom::3::VDA,0.0028325213042255104,0.002832521304225552,0.6148109286089027,1
BisectingKMeansCustom::3::TOS,0.0028325213042255104,0.002832521304225552,0.6003560745439414,0
BisectingKMeansCustom::3::VEN,0.0028325213042255104,0.002832521304225552,0.5960684214767252,0
BisectingKMeansCustom::3::CAL,0.0028325213042255104,0.002832521304225552,0.5803700003408374,0
BisectingKMeansCustom::3::CAM,0.0028325213042255104,0.002832521304225552,0.6048702066408099,1
BisectingKMeansCustom::3::SIC,0.0028325213042255104,0.002832521304225552,0.5498337490983037,0
BisectingKMeansCustom::3::MAR,0.0028325213042255104,0.002832521304225552,0.620298573470467,1
BisectingKMeansCustom::3::MOL,0.0028325213042255104,0.002832521304225552,0.6610689030743861,2
BisectingKMeansCustom::3::UMB,0.0028325213042255104,0.002832521304225552,0.6244726957860749,1
BisectingKMeansCustom::3::PAB,0.0028325213042255104,0.002832521304225552,0.6147812971342383,1
BisectingKMeansCustom::3::LIG,0.0028325213042255104,0.002832521304225552,0.6525889104884406,2
BisectingKMeansCustom::3::PAT,0.0028325213042255104,0.002832521304225552,0.5625641355129464,0
BisectingKMeansCustom::3::SAR,0.0028325213042255104,0.002832521304225552,0.5846248181576437,0
BisectingKMeansCustom::3::BAS,0.0028325213042255104,0.002832521304225552,0.6179692793186006,1
BisectingKMeansCustom::3::LAZ,0.0028325213042255104,0.002832521304225552,0.6076343222166986,1
BisectingKMeansCustom::3::LOM,0.0028325213042255104,0.002832521304225552,0.6253450389044157,1
BisectingKMeansCustom::3::EMR,0.0028325213042255104,0.002832521304225552,0.609860559404474,1
BisectingKMeansCustom::3::PUG,0.0028325213042255104,0.002832521304225552,0.6209724591544898,1
BisectingKMeansCustom::4::FVG,0.0012770218767735875,0.0012770218767734628,0.6328885099766174,3
BisectingKMeansCustom::4::PIE,0.0012770218767735875,0.0012770218767734628,0.6071899110972782,2
BisectingKMeansCustom::4::VDA,0.0012770218767735875,0.0012770218767734628,0.6148109286089027,2
BisectingKMeansCustom::4::TOS,0.0012770218767735875,0.0012770218767734628,0.6003560745439414,1
BisectingKMeansCustom::4::VEN,0.0012770218767735875,0.0012770218767734628,0.5960684214767252,1
BisectingKMeansCustom::4::CAL,0.0012770218767735875,0.0012770218767734628,0.5803700003408374,1
BisectingKMeansCustom::4::CAM,0.0012770218767735875,0.0012770218767734628,0.6048702066408099,2
BisectingKMeansCustom::4::SIC,0.0012770218767735875,0.0012770218767734628,0.5498337490983037,0
BisectingKMeansCustom::4::MAR,0.0012770218767735875,0.0012770218767734628,0.620298573470467,2
BisectingKMeansCustom::4::MOL,0.0012770218767735875,0.0012770218767734628,0.6610689030743861,3
BisectingKMeansCustom::4::UMB,0.0012770218767735875,0.0012770218767734628,0.6244726957860749,2
BisectingKMeansCustom::4::PAB,0.0012770218767735875,0.0012770218767734628,0.6147812971342383,2
BisectingKMeansCustom::4::LIG,0.0012770218767735875,0.0012770218767734628,0.6525889104884406,3
BisectingKMeansCustom::4::PAT,0.0012770218767735875,0.0012770218767734628,0.5625641355129464,0
BisectingKMeansCustom::4::SAR,0.0012770218767735875,0.0012770218767734628,0.5846248181576437,1
BisectingKMeansCustom::4::BAS,0.0012770218767735875,0.0012770218767734628,0.6179692793186006,2
BisectingKMeansCustom::4::LAZ,0.0012770218767735875,0.0012770218767734628,0.6076343222166986,2
BisectingKMeansCustom::4::LOM,0.0012770218767735875,0.0012770218767734628,0.6253450389044157,2
BisectingKMeansCustom::4::EMR,0.0012770218767735875,0.0012770218767734628,0.609860559404474,2
BisectingKMeansCustom::4::PUG,0.0012770218767735875,0.0012770218767734628,0.6209724591544898,2
BisectingKMeansCustom::5::FVG,8.873167943311833E-4,8.873167943305849E-4,0.6328885099766174,4
BisectingKMeansCustom::5::PIE,8.873167943311833E-4,8.873167943305849E-4,0.6071899110972782,2
BisectingKMeansCustom::5::VDA,8.873167943311833E-4,8.873167943305849E-4,0.6148109286089027,2
BisectingKMeansCustom::5::TOS,8.873167943311833E-4,8.873167943305849E-4,0.6003560745439414,1
BisectingKMeansCustom::5::VEN,8.873167943311833E-4,8.873167943305849E-4,0.5960684214767252,1
BisectingKMeansCustom::5::CAL,8.873167943311833E-4,8.873167943305849E-4,0.5803700003408374,1
BisectingKMeansCustom::5::CAM,8.873167943311833E-4,8.873167943305849E-4,0.6048702066408099,2
BisectingKMeansCustom::5::SIC,8.873167943311833E-4,8.873167943305849E-4,0.5498337490983037,0
BisectingKMeansCustom::5::MAR,8.873167943311833E-4,8.873167943305849E-4,0.620298573470467,3
BisectingKMeansCustom::5::MOL,8.873167943311833E-4,8.873167943305849E-4,0.6610689030743861,4
BisectingKMeansCustom::5::UMB,8.873167943311833E-4,8.873167943305849E-4,0.6244726957860749,3
BisectingKMeansCustom::5::PAB,8.873167943311833E-4,8.873167943305849E-4,0.6147812971342383,2
BisectingKMeansCustom::5::LIG,8.873167943311833E-4,8.873167943305849E-4,0.6525889104884406,4
BisectingKMeansCustom::5::PAT,8.873167943311833E-4,8.873167943305849E-4,0.5625641355129464,0
BisectingKMeansCustom::5::SAR,8.873167943311833E-4,8.873167943305849E-4,0.5846248181576437,1
BisectingKMeansCustom::5::BAS,8.873167943311833E-4,8.873167943305849E-4,0.6179692793186006,3
BisectingKMeansCustom::5::LAZ,8.873167943311833E-4,8.873167943305849E-4,0.6076343222166986,2
BisectingKMeansCustom::5::LOM,8.873167943311833E-4,8.873167943305849E-4,0.6253450389044157,3
BisectingKMeansCustom::5::EMR,8.873167943311833E-4,8.873167943305849E-4,0.609860559404474,2
BisectingKMeansCustom::5::PUG,8.873167943311833E-4,8.873167943305849E-4,0.6209724591544898,3
